sku;name;preparation;description;duration;biomaterial
1.0.A1.202;СОЭ (венозная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Скорость оседания эритроцитов (СОЭ) - неспецифический показатель воспаления. СОЭ зависит от диаметра и объема эритроцитов, их числа (увеличение - замедляет, уменьшение - ускоряет), от содержания в плазме желчных кислот и пигментов, вязкости крови. На СОЭ оказывает влияние изменение соотношений различных фракций белков крови, прием некоторых лекарственных препаратов. СОЭ не является показателем, специфическим для какого-либо заболевания, однако повышение СОЭ практически всегда указывает на наличие патологического процесса. Показания к назначению: воспалительные процессы; инфекционные заболевания; злокачественные опухоли; аутоиммунные заболевания; скрининговое исследование при профилактических осмотрах.";1;кровь с EDTA
1.0.D1.202;Клинический анализ крови без лейкоцитарной формулы (венозная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Общий анализ крови - лабораторное исследование, которое включает в себя подсчет всех видов клеток крови (эритроцитов, лейкоцитов, тромбоцитов), определение их параметров (размеры клеток, форма и т.д.), измерение уровня гемоглобина, определение соотношения клеточной массы к плазме (гематокрит). 
Краткая характеристика основных показателей: 
Гемоглобин (HGB) - белок, содержащий железо; основная функция - транспорт кислорода и углекислого газа. Гематокрит (Ht, Hematocrit) - соотношение клеток крови к жидкой части. Эритроциты (RBC, ""красные кровяные клетки"") - клетки крови, содержащие гемоглобин. MCV (Mean Cell volume) - средний объём эритроцитов, важен в диагностике анемий. RDW (Red cell Distribution Width) - распределение эритроцитов по величине. MCH (Mean Cell Hemoglobin) - среднее содержание гемоглобина в эритроцитах (в 1 клетке). MCHC (Mean Cell Hemoglobin Concentration) - средняя концентрация гемоглобина в эритроцитах. Лейкоциты (WBC, ""белые клетки крови"") - распознают, обезвреживают и обеспечивают иммунитет от чужеродных микроорганизмов (вирусов и бактерий), в ряде случаев, против собственных тканей, ставших чужеродными. Тромбоциты (PLT, Platelets) - клетки крови, участвующие в свертывании. 
Показания к назначению: применяется при многих заболеваниях для оценки общего состояния организма; диагностика, динамика и контроль лечения воспалительных, инфекционных, аутоиммунных заболеваний, анемий, заболеваний кроветворной системы; профилактическое обследование; при направлении на госпитализацию. 
Анализ крови без лейкоформулы проводится на гематологическом анализаторе. При изменении уровня лейкоцитов необходима оценка лейкоформулы. ";1;кровь с EDTA
1.0.D2.202;Клинический анализ крови с лейкоцитарной формулой (5DIFF) (венозная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Общий анализ крови с лейкоцитарной формулой - лабораторное исследование, которое включает в себя подсчет всех видов клеток крови (эритроцитов, лейкоцитов, тромбоцитов), определение их параметров (размеры клеток, форма и т.д.), измерение уровня гемоглобина, определение соотношения клеточной массы к плазме (гематокрит), дифференцировку лейкоцитов по 5 показателям (лейкоцитарная формула). 
Краткая характеристика основных показателей: 
Гемоглобин (HGB) - белок, содержащий железо; основная функция - транспорт кислорода и углекислого газа. Гематокрит (Ht, Hematocrit) - соотношение клеток крови к жидкой части. Эритроциты (RBC, ""красные кровяные клетки"") - клетки крови, содержащие гемоглобин. MCV (Mean Cell volume) - средний объём эритроцитов, важен в диагностике анемий. RDW (Red cell Distribution Width) - распределение эритроцитов по величине. MCH (Mean Cell Hemoglobin) - среднее содержание гемоглобина в эритроцитах (в 1 клетке). MCHC (Mean Cell Hemoglobin Concentration) - средняя концентрация гемоглобина в эритроцитах. Лейкоциты (WBC, ""белые клетки крови"") - распознают, обезвреживают и обеспечивают иммунитет от чужеродных микроорганизмов (вирусов и бактерий), в ряде случаев, против собственных тканей, ставших чужеродными. Тромбоциты (PLT, Platelets) - клетки крови, участвующие в свертывании. 
Лейкоцитарная формула - абсолютное количество и соотношение (в %) различных видов лейкоцитов: нейтрофилы, базофилы, эозинофилы, моноциты, лимфоциты.
Показания к назначению: применяется при многих заболеваниях для оценки общего состояния организма; диагностика, динамика и контроль лечения воспалительных, инфекционных, аутоиммунных заболеваний; анемий, заболеваний кроветворной системы; профилактическое обследование; при направлении на госпитализацию. 
";1;кровь с EDTA
1.0.D6;Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (венозная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;Клинический анализ крови с лейкоцитарной формулой включает подсчет всех клеток крови (эритроцитов, лейкоцитов, тромбоцитов), определение их параметров и дифференцировку лейкоцитов по 5 показателям (лейкоцитарная формула). Данный тест предполагает обязательное подтверждение результата, выданного анализатором, врачом КЛД (в мазке крови). При этом указывается количество палочкоядерных и сегментоядерных лейкоцитов, а также незрелых форм лейкоцитов. Это важно для пациентов с заболеваниями крови для диагностики и наблюдения в динамике.;1;кровь с EDTA
1.0.D3.202;Ретикулоциты (венозная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Ретикулоциты - молодые формы эритроцитов, содержащие зернисто-нитчатую субстанцию. Количество ретикулоцитов отражает активность эритропоэза. Исследуется для диагностики неэффективного гемопоэза при анемии, для оценки реакции на терапию препаратами железа, фолиевой кислоты, витамина В12, эритропоэтином и для мониторинга эффективности при трансплантации костного мозга. 
";1;кровь с EDTA
1.1.D1;Электрофорез гемоглобина для диагностики гемоглобинопатий;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Электрофорез гемоглобина в щелочном геле позволяет определить процентное содержание основных изоформ гемоглобина и провести скрининг гемоглобинопатий. В норме в крови взрослого человека не менее 96,5 % гемоглобина представлено изоформой HbA, которая состоит из двух пар полипептидных цепей (глобинов) - 2α и 2β, - каждая из которых связана с гемом. HbA обеспечивает адекватный газообмен и тканевую оксигенацию. Фракция HbA2 - второстепенная форма гемоглобина, имеет формулу 2α2δ. Также у взрослого допустимо наличие следовых количеств фетального гемоглобина HbF (2α2γ), который является преобладающей фракцией в течение внутриутробного периода. В течение первых 6 месяцев жизни HbF замещается HbA.
Нарушения структуры гемоглобина обычно разделяют на две группы: гемоглобинопатии и талассемии, хотя талассемии являются формой гемоглобинопатии. Талассемии представляют собой нарушения синтеза α-, β- или обеих цепей гемоглобина. Также могут отмечаться нарушения синтеза δ-, γ- цепей. Большинство вариантов α- и β-талассемий сопровождается изменением уровня HbF и HbA2, поэтому определение этих изоформ может быть использовано для скрининга этих состояний.
Остальные гемоглобинопатии связаны с наличием аномального варианта гемоглобина. Наиболее распространённые и клинически значимые аномальные варианты гемоглобина: S, D, E, C. Варианты HbS и HbD - патологические формы гемоглобина, которые обладают идентичной миграцией в щелочном геле и являются результатом точечных мутаций гена, кодирующего β-глобин. Варианты Е и С при данном методе мигрируют в составе фракции HbA2, при их наличии фракция HbA2 достигает более 25 %. Наибольшее клиническое значение представляет HbS-вариант, который приводит к серповидноклеточной анемии.
Электрофорез гемоглобина в щелочном геле позволяет проводить скрининг состояний, связанных со структурными аномалиями гемоглобина. При этом метод не позволяет установить тип и характер гемоглобинопатии.
Метод исследования основан на электрофорезе гемоглобина, полученного при лизисе отмытых эритроцитов обследуемого. После разделения гемоглобина на фракции производится окрашивание зон миграции. Содержание гемоглобина в составе фракций измеряется с помощью цифровой денситометрии.";10;кровь с EDTA
60.30.H43.202;Клинический анализ крови с лейкоцитарной формулой (5DIFF) и СОЭ, венозная кровь;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;Комплексное исследование Клинический анализ крови с лейкоформулой и СОЭ позволяет провести первичный скрининг на выявление патологического процесса в организме. Скорость оседания эритроцитов (СОЭ) - неспецифический показатель воспаления, не является показателем, специфическим для какого-либо заболевания, повышение СОЭ указывает на наличие патологического процесса и требует подтверждения с помощью С-реактивного белка. Общий анализ крови с лейкоцитарной формулой назначается в качестве первичного скрининга при любом заболевании, при профилактическом осмотре и при направлении на госпитализацию.;1;Кровь с ЭДТА
1.2.D5;СОЭ (капиллярная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Скорость оседания эритроцитов (СОЭ) - неспецифический маркер воспалительного процесса.
Использование капиллярной крови для выполнения СОЭ актуально для детей до 1 года и людей с труднодоступными венами. При этом риск образования сгустка выше, чем при взятии для исследования венозной крови.";1;капилярная кровь с ЭДТА
1.2.D1;Клинический анализ крови без лейкоцитарной формулы (капиллярная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;Клинический анализ крови без лейкоформулы обычно используется для оценки динамики течения анемии и для контроля уровня тромбоцитов. При изменении уровня лейкоцитов необходима оценка лейкоформулы. Использование капиллярной крови актуально для детей до 1 года и людей с труднодоступными венами. При этом риск образования сгустка выше, чем при взятии для исследования венозной крови;1;капилярная кровь с ЭДТА
1.2.D2;Клинический анализ крови с лейкоцитарной формулой (5DIFF) (капиллярная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Исследование применяется при многих заболеваниях для оценки общего состояния организма; диагностика, динамика и контроль лечения воспалительных, инфекционных, аутоиммунных заболеваний; анемий, заболеваний кроветворной системы; профилактическое обследование; при направлении на госпитализацию. 
Использование капиллярной крови актуально для детей до 1 года и людей с труднодоступными венами. При этом риск образования сгустка выше, чем при взятии для исследования венозной крови
";1;капилярная кровь с ЭДТА
